"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"PinHeader_1x02_P1.00mm_Vertical";1;"Conn_01x02_Male";;;
2;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24";;;
3;"U1";"LGA-24L_3x3.5mm_P0.43mm";1;"LSM9DS1";;;
4;"R4";"R_0603_1608Metric";1;"10k";;;
5;"R3";"R_0603_1608Metric";1;"102k";;;
6;"R2,R1";"R_0603_1608Metric";2;"4.7k";;;
7;"L2";"L_0603_1608Metric";1;"10uH";;;
8;"L1";"L_0603_1608Metric";1;"2nH";;;
9;"J1";"PinHeader_2x03_P2.54mm_Vertical";1;"JTAG";;;
10;"IC1";"VQFN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm_ThermalVias";1;"CC2650F128RSMT";;;
11;"HM1";"Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering";1;"BME280";;;
12;"C17,C16,C15,C12,C11,C9,C6,C4";"C_0603_1608Metric";8;"0.1uF";;;
13;"C14";"C_0603_1608Metric";1;"10nF";;;
14;"C13";"C_0603_1608Metric";1;"100nF";;;
15;"C10";"C_0603_1608Metric";1;"1uF";;;
16;"C8,C7";"C_0603_1608Metric";2;"10uF";;;
17;"C5,C2,C1";"C_0603_1608Metric";3;"1.2pF";;;
18;"C3";"C_0603_1608Metric";1;"12pF";;;
19;"BT1";"PinSocket_1x02_P2.54mm_Vertical";1;"Battery_Cell";;;
20;"AE1";"Texas_SWRA117D_2.4GHz_Right";1;"Antenna_Shield";;;
